id,solver,result,len_proof,time,benchmark_id,polymul
3a923063-fe2b-494b-83f1-c56293b7085d,vampireZ3polymul,solved,14,0.03,simpleloop_inv1.smt2,1
7769e0ab-a799-4891-83a4-c23fa84fc711,z3,solved,33,0.02,simpleloop_inv1.smt2,-1
6b544059-e91c-496c-bc30-0cb1ea9f24c2,vampireZ3,solved,23,0.057,simpleloopV2_inv1.smt2,0
9eb5584c-603a-4a25-8b76-d61074607a2f,vampireZ3polymul,solved,19,0.031,simpleloopV2_inv1.smt2,1
a1a55ea8-e23f-4c74-bf7e-854e4ac0dec0,z3,solved,37,0.02,simpleloopV2_inv1.smt2,-1
bfc315c6-a227-486e-811f-c8503016303b,vampireZ3,solved,80,0.07,euclidex_inv1.smt2,0
e067cd1b-ef71-4544-a94e-e3812118a918,vampireZ3,solved,80,0.071,euclidex_inv2.smt2,0
8363e61c-ed13-4990-ad24-743f53a5ba81,vampireZ3,solved,82,0.067,euclidex_inv3.smt2,0
928e9ef8-6358-4be5-a9d5-ea5caa84b09e,vampireZ3,solved,85,0.079,euclidex_inv4.smt2,0
88627348-94f0-4d35-8758-a3cfa13838e3,vampireZ3,solved,84,0.085,euclidex_inv5.smt2,0
a38f7938-84de-4046-81b6-23b76496dec2,vampireZ3polymul,solved,37,0.04,euclidex_inv1.smt2,1
d726449d-f084-42ea-9bdd-da0edfbf4754,vampireZ3polymul,solved,37,0.04,euclidex_inv2.smt2,1
6ed02cf9-6014-4b0b-88f4-f1033fba9059,vampireZ3polymul,solved,37,0.04,euclidex_inv3.smt2,1
7f0df7aa-7b47-418c-9ebc-608ba9ce855e,vampireZ3polymul,solved,39,0.038,euclidex_inv4.smt2,1
3ab880b1-df1e-425f-b0ea-5f05224d7672,vampireZ3polymul,solved,36,0.039,euclidex_inv5.smt2,1
3a0a42ea-9db6-424c-9bec-d84d55ad2fdb,z3,solved,174,0.02,euclidex_inv1.smt2,-1
